Sample,Date,DOC,DN
S14_I_C2,5/17/2022,1220,749.6
S14_I_C3,5/17/2022,1240,756.5
S14_O_C1,5/17/2022,1846,832.9
S14_O_C2,5/17/2022,1326,774.1
S14_O_C3,5/17/2022,1283,780.6
S14_P_C1,5/17/2022,1404,776.2
S14_P_C2,5/17/2022,2071,762.8
S14_P_C3,5/17/2022,1265,767.3
S14_A_C0,5/17/2022,3386,774
S14_B_C0,5/17/2022,3386,774
S14_C_C0,5/17/2022,3386,774
S14_F_C0,5/17/2022,3386,774
S14_G_C0,5/17/2022,3386,774
S14_I_C0,5/17/2022,3386,774
S14_O_C0,5/17/2022,3386,774
S14_P_C0,5/17/2022,3386,774
S15_C_C1,5/19/2022,1479,955
S15_C_C2,5/19/2022,1344,869.4
S15_C_C3,5/19/2022,1388,721.8
S15_F_C1,5/19/2022,1499,950.3
S15_F_C2,5/19/2022,1354,909.9
S15_F_C3,5/19/2022,1358,719.7
S15_G_C1,5/19/2022,1382,946.9
S15_G_C2,5/19/2022,1370,888.4
S15_G_C3,5/19/2022,1391,711.8
S15_P_C1,5/19/2022,1550,938.9
S15_P_C2,5/19/2022,1320,909.8
S15_P_C3,5/19/2022,1371,706.4
S15_C_C0,5/19/2022,2825,725.9
S15_F_C0,5/19/2022,2825,725.9
S15_G_C0,5/19/2022,2825,725.9
S15_P_C0,5/19/2022,2825,725.9
S16_A_C1,5/20/2022,1415,1025
S16_A_C2,5/19/2022,2656,984.4
S16_A_C3,5/20/2022,1238,973.3
S16_G_C1,5/19/2022,2884,951.4
S16_G_C2,5/20/2022,1380,943.5
S16_G_C3,5/19/2022,1300,953.9
S16_I_C1,5/20/2022,1486,927.7
S16_I_C2,5/19/2022,1279,945.7
S16_I_C3,5/20/2022,1207,945
S16_P_C1,5/19/2022,1515,956.6
S16_P_C2,5/20/2022,1337,948.3
S16_P_C3,5/19/2022,1356,1003
S16_A_C0,5/20/2022,3199,969.5
S16_G_C0,5/20/2022,3199,969.5
S16_I_C0,5/20/2022,3199,969.5
S16_P_C0,5/20/2022,3199,969.5
S17_B_C1,5/24/2022,1392,882.5
S17_B_C2,5/24/2022,1202,874.5
S17_B_C3,5/24/2022,1258,878.4
S17_C_C1,5/24/2022,2580,884.7
S17_C_C2,5/24/2022,1268,874.2
S17_C_C3,5/24/2022,1218,879.8
S17_F_C1,5/24/2022,1343,893.6
S17_F_C2,5/24/2022,1260,887.6
S17_F_C3,5/24/2022,1211,879.5
S17_O_C1,5/24/2022,1321,881.3
S17_O_C2,5/24/2022,1237,905.5
S17_O_C3,5/24/2022,1393,899.1
S17_B_C0,5/24/2022,3212,897.3
S17_C_C0,5/24/2022,3212,897.3
S17_F_C0,5/24/2022,3212,897.3
S17_O_C0,5/24/2022,3212,897.3
S18_B_C1,5/26/2022,1411,850
S18_B_C2,5/26/2022,1385,842.9
S18_B_C3,5/26/2022,1230,837.4
S18_C_C1,5/26/2022,1438,840.8
S18_C_C2,5/26/2022,1446,829.2
S18_C_C3,5/26/2022,1284,829.5
S18_F_C1,5/26/2022,1391,826.6
S18_F_C2,5/26/2022,1128,828.4
S18_F_C3,5/26/2022,1244,820.8
S18_B_C0,5/26/2022,3364,862.4
S18_C_C0,5/26/2022,3364,862.4
S18_F_C0,5/26/2022,3364,862.4
S19_B_C1,5/27/2022,1542,851.7
S19_B_C2,5/27/2022,1325,839.3
S19_B_C3,5/27/2022,1334,841.4
S19_C_C1,5/27/2022,1498,838
S19_C_C2,5/27/2022,2146,868.4
S19_C_C3,5/27/2022,1263,855.2
S19_F_C1,5/27/2022,1404,863.4
S19_F_C2,5/27/2022,1251,854.7
S19_F_C3,5/27/2022,2100,841.5
S19_B_C0,5/27/2022,2895,860.6
S19_C_C0,5/27/2022,2895,860.6
S19_F_C0,5/27/2022,2895,860.6
